./map,1048570,65M,0.454329
./map,2097150,105M,0.940144
./map,3145720,195M,1.423597
./map,4194300,261M,1.893085
./map,5242880,325M,2.383369
./map,6291450,390M,2.880824
./map,7340030,372M,3.359954
./map,8388600,522M,3.916060
./map,9437180,585M,4.350629
./map,10485760,626M,5.005160
./map,11534330,704M,5.421925
./map,12582910,772M,5.867122
./map,13631480,847M,6.335325
./map,14680060,911M,6.945075
./map,15728640,836M,7.452855
./map,16777210,1041M,7.796551
./map,17825790,1104M,8.396895
./map,18874360,1122M,8.846417
./map,19922940,1042M,9.510827
./map,20971520,1235M,10.309582
